# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 341.732199
flt:plate_T_C 397.301440
flt:plate_Q_kW 1.382327
flt:cool_Thigh_C 51.802085
flt:cool_Tlow_C 9.268320
flt:air_psig 20.000000
flt:water_gph 7.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 16.113281
flt:fuel_scfh 8.905906
flt:flow_scfh 25.019187
flt:ratio_fto 0.552706

## End Configuration ##
#: Wed Mar 22 17:26:00 2017
-7.394846	-3.829796
-9.085932	-4.393596
-9.065717	-4.404651
-9.062874	-4.401176
-9.068875	-4.370223
-9.098249	-4.323792
-8.994966	-4.296945
-8.794714	-4.297260
-8.606149	-4.244513
-8.392315	-4.168708
-8.213857	-4.128594
-7.993075	-4.010465
-7.805457	-3.966877
-7.598888	-3.895178
-7.395478	-3.840219
-7.209755	-3.757465
-7.005082	-3.667447
-6.798829	-3.605855
-6.604894	-3.571111
-6.391060	-3.506676
-6.208180	-3.473512
-5.990241	-3.384441
-5.809256	-3.348118
-5.601424	-3.259678
-5.396434	-3.223039
-5.208185	-3.146602
-4.996247	-3.054373
-4.804207	-2.988043
-4.594480	-2.910659
-4.405914	-2.834854
-4.201872	-2.770736
-3.998462	-2.686086
-3.805791	-2.590383
-3.598274	-2.469410
-3.400549	-2.437509
-3.211353	-2.374654
-2.996571	-2.341489
-2.813060	-2.248944
-2.591646	-2.171875
-2.405292	-2.107757
-2.206619	-2.015527
-2.000682	-1.971623
-1.803589	-1.906557
-1.599547	-1.816855
-1.400874	-1.737891
-1.203149	-1.629869
-0.998160	-1.564803
-0.805488	-1.499105
-0.592602	-1.401822
-0.405932	-1.296958
-0.204733	-1.112499
-0.001638	-0.898350
0.196428	-0.586917
0.397337	-0.325705
0.592876	-0.049333
0.798208	0.160100
0.999117	0.314888
1.188970	0.445037
1.402831	0.487051
1.591736	0.496528
1.797700	0.562550
1.990712	0.597930
2.200466	0.669007
2.394742	0.666480
2.592176	0.681643
2.809828	0.693647
2.992100	0.665848
3.193009	0.750508
3.398025	0.764407
3.594512	0.794101
3.800159	0.788099
3.996330	0.778622
4.194081	0.804842
4.402572	0.820005
4.589898	0.861071
4.803442	0.907823
4.992032	0.873391
5.205261	0.915405
5.388165	0.897083
5.600130	0.920775
5.795669	0.918564
5.994367	0.971318
6.204122	0.961526
6.393343	0.972898
6.600570	0.997854
6.793898	0.965632
6.989121	0.964053
7.207089	0.988693
7.386517	0.998169
7.601010	1.050924
7.799708	1.046501
7.981664	1.032286
8.202475	1.017755
8.384746	0.997538
8.601766	1.066403
8.793830	1.072721
8.999794	1.121684
9.190279	1.087884
9.389924	1.037341
9.593361	1.023757
9.796165	1.067035
9.987598	1.111576
9.803115	1.132109
9.588306	1.122316
9.397190	1.061349
9.182697	0.988061
9.004532	1.044290
8.790671	1.073668
8.591341	1.087252
8.400857	1.090095
8.180677	1.034181
7.997143	0.989956
7.793706	0.970055
7.598799	1.044922
7.401364	1.041131
7.190346	1.034181
6.992912	1.002908
6.796425	0.954260
6.586039	0.940045
6.406295	0.950153
6.188011	0.975741
6.014269	0.951417
5.788404	0.924882
5.593181	0.915089
5.393851	0.891713
5.192626	0.880656
4.995507	0.898347
4.797125	0.875602
4.594636	0.859176
4.394674	0.849699
4.191870	0.838958
4.000753	0.794733
3.794158	0.774200
