# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 349.611240
flt:plate_T_C 295.360933
flt:plate_Q_kW 1.256999
flt:cool_Thigh_C 53.835007
flt:cool_Tlow_C 13.258651
flt:air_psig 20.000000
flt:water_gph 6.600000
flt:standoff_in 0.228000
flt:oxygen_scfh 16.152344
flt:fuel_scfh 8.894187
flt:flow_scfh 25.046531
flt:ratio_fto 0.550644

## End Configuration ##
#: Wed Apr 12 17:55:31 2017
-7.615313	-3.954558
-9.082773	-4.406862
-9.083405	-4.383489
-9.100145	-4.366748
-9.076772	-4.358221
-9.043607	-4.382857
-8.970645	-4.392649
-8.823457	-4.356641
-8.606149	-4.240723
-8.423901	-4.191765
-8.222385	-4.103958
-8.015184	-4.075847
-7.816828	-4.000673
-7.613733	-3.932133
-7.416324	-3.822847
-7.212914	-3.755570
-7.019927	-3.662709
-6.813042	-3.632387
-6.619739	-3.569532
-6.408116	-3.477302
-6.227448	-3.448559
-6.006033	-3.369596
-5.821259	-3.348749
-5.614690	-3.279893
-5.424545	-3.195876
-5.211028	-3.096697
-5.010460	-3.040475
-4.818737	-2.955194
-4.611536	-2.921714
-4.418865	-2.872441
-4.211980	-2.806743
-4.011728	-2.717988
-3.815266	-2.677874
-3.617857	-2.600490
-3.415710	-2.548690
-3.220828	-2.476043
-3.008574	-2.371811
-2.820325	-2.273264
-2.609650	-2.192722
-2.414767	-2.133657
-2.215147	-2.065116
-2.018370	-1.990575
-1.812749	-1.893291
-1.615339	-1.809274
-1.418562	-1.732837
-1.208203	-1.695882
-1.014268	-1.606180
-0.819386	-1.554695
-0.608079	-1.429301
-0.415092	-1.355075
-0.211366	-1.213572
-0.004481	-1.036694
0.188214	-0.778325
0.381226	-0.477000
0.581820	-0.160197
0.791574	0.111136
0.977320	0.300357
1.190866	0.429242
1.387352	0.472836
1.586366	0.582136
1.783169	0.616252
1.983446	0.692383
2.186567	0.695542
2.386213	0.717970
2.584595	0.709125
2.790874	0.763143
2.988941	0.796628
3.181637	0.862966
3.385705	0.868968
3.584403	0.857596
3.789419	0.894240
3.981483	0.887606
4.188711	0.931516
4.373825	0.980479
4.588002	0.978584
4.777539	0.980479
4.990768	1.009226
5.187887	0.999433
5.385953	1.001328
5.581808	1.033550
5.789351	1.046817
5.986470	1.062928
6.187063	1.105574
6.391763	1.098624
6.588882	1.081250
6.787580	1.104310
6.979960	1.100520
7.194769	1.127371
7.379568	1.187391
7.591218	1.172228
7.788652	1.164646
7.982296	1.121053
8.180677	1.139059
8.390116	1.199079
8.586919	1.253729
8.786880	1.254045
8.985579	1.222455
9.185225	1.166542
9.378236	1.121369
9.592097	1.249306
9.781319	1.281527
9.979384	1.310906
9.786689	1.271735
9.581041	1.202238
9.387397	1.140638
9.182697	1.213294
8.986526	1.251517
8.784038	1.261626
8.587234	1.223719
8.379060	1.173491
8.186680	1.146956
7.978821	1.141270
7.785493	1.211399
7.581109	1.175703
7.395362	1.178230
7.176131	1.100835
6.987542	1.101151
6.785685	1.077459
6.589514	1.113155
6.391448	1.125159
6.182957	1.093886
5.990892	1.057874
5.779874	1.058505
5.588442	1.029443
5.379635	1.011753
5.194521	1.024073
4.978765	0.979848
4.788596	0.992167
4.581052	0.958683
4.391515	0.961210
4.176707	0.889502
3.990644	0.900242
3.781838	0.872443
