# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 446.169196
flt:plate_T_C 283.312639
flt:plate_Q_kW 0.534369
flt:cool_Thigh_C 48.949644
flt:cool_Tlow_C 13.034477
flt:air_psig 20.000000
flt:water_gph 3.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 7.988281
flt:fuel_scfh 4.382469
flt:flow_scfh 12.370750
flt:ratio_fto 0.548612

## End Configuration ##
#: Wed Apr 12 17:31:54 2017
-7.411902	-3.385388
-9.420737	-4.038891
-9.413157	-4.038260
-9.472854	-3.952347
-9.413472	-3.862013
-9.216379	-3.842114
-9.015180	-3.901811
-8.806085	-3.874015
-8.610570	-3.738830
-8.415056	-3.617857
-8.216700	-3.555318
-8.010447	-3.578691
-7.816512	-3.587851
-7.614681	-3.494674
-7.413166	-3.363279
-7.218284	-3.289369
-7.017400	-3.278314
-6.814305	-3.307688
-6.615949	-3.244517
-6.413802	-3.109332
-6.216393	-3.015523
-6.014246	-2.973198
-5.814942	-2.972566
-5.615322	-2.960880
-5.418860	-2.839592
-5.213239	-2.741045
-5.012987	-2.685771
-4.804207	-2.681664
-4.617537	-2.655133
-4.412863	-2.558481
-4.215454	-2.458987
-4.013623	-2.396448
-3.811160	-2.357598
-3.612804	-2.334224
-3.418237	-2.266632
-3.214827	-2.169348
-3.011732	-2.095438
-2.814955	-2.028161
-2.614072	-1.999734
-2.413188	-1.958042
-2.216411	-1.854757
-2.017422	-1.767265
-1.814012	-1.707569
-1.611233	-1.662718
-1.408771	-1.596388
-1.209782	-1.501316
-1.009530	-1.377185
-0.814332	-1.253686
-0.611870	-1.107129
-0.414460	-0.929303
-0.216420	-0.726841
-0.013325	-0.504795
0.188846	-0.335497
0.382174	-0.176938
0.584347	-0.031329
0.785888	0.078283
0.984902	0.141778
1.186759	0.178737
1.386721	0.203061
1.582576	0.229912
1.784433	0.241601
1.982183	0.247287
2.185619	0.238126
2.386529	0.263397
2.587438	0.270979
2.784873	0.300673
2.982939	0.286774
3.187639	0.273190
3.386969	0.282667
3.588510	0.300041
3.784681	0.302884
3.986222	0.316152
4.182393	0.303516
4.384881	0.305727
4.585159	0.324365
4.785437	0.332894
4.988557	0.347425
5.189782	0.332894
5.380267	0.319627
5.584020	0.340476
5.783665	0.367643
5.984574	0.357534
6.188959	0.350584
6.387341	0.324681
6.586355	0.336053
6.782526	0.365747
6.985331	0.368590
7.183081	0.368906
7.383358	0.336685
7.587742	0.343319
7.791811	0.353112
7.981348	0.392283
8.185101	0.395757
8.388536	0.364484
8.586287	0.351216
8.792251	0.363852
8.983051	0.401759
9.182697	0.406182
9.382659	0.380910
9.582621	0.354059
9.781003	0.365747
9.989493	0.389755
9.784793	0.408709
9.584831	0.397969
9.383290	0.350900
9.185225	0.354059
8.989685	0.371118
8.786249	0.401128
8.583760	0.382806
8.390432	0.360693
8.186364	0.333842
7.983243	0.351848
7.789599	0.373329
7.588690	0.384385
7.384938	0.370170
7.184029	0.337001
6.985962	0.324049
6.782210	0.352164
6.589514	0.382806
6.390184	0.357218
6.185484	0.340160
5.991840	0.302252
5.783665	0.325313
5.584335	0.355007
5.384058	0.359745
5.185676	0.339844
4.986346	0.301937
4.786384	0.306359
4.586107	0.331631
4.383302	0.347425
4.184920	0.316152
3.986854	0.291512
3.793210	0.266872
