# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 405.516602
flt:plate_T_C 266.512818
flt:plate_Q_kW 0.889161
flt:cool_Thigh_C 50.290439
flt:cool_Tlow_C 12.079565
flt:air_psig 20.000000
flt:water_gph 4.900000
flt:standoff_in 0.228000
flt:oxygen_scfh 11.250000
flt:fuel_scfh 6.187156
flt:flow_scfh 17.437156
flt:ratio_fto 0.549969

## End Configuration ##
#: Wed Apr 12 18:03:36 2017
-7.620366	-3.936555
-8.980436	-4.495301
-8.945061	-4.535099
-8.931794	-4.532572
-8.971592	-4.487721
-9.033500	-4.395807
-8.959906	-4.417917
-8.808295	-4.473823
-8.619414	-4.430551
-8.404001	-4.347166
-8.227755	-4.191133
-8.010762	-4.058790
-7.819039	-4.082163
-7.614049	-4.095114
-7.415692	-3.999410
-7.226180	-3.932448
-7.015505	-3.726511
-6.819675	-3.703770
-6.622266	-3.718299
-6.412854	-3.680081
-6.217656	-3.605855
-6.014246	-3.488989
-5.819048	-3.343064
-5.619743	-3.352540
-5.417281	-3.312742
-5.214186	-3.270417
-5.014882	-3.161763
-4.808629	-3.044581
-4.617221	-2.935296
-4.415074	-2.962143
-4.213559	-2.901499
-4.020888	-2.836433
-3.812424	-2.723989
-3.613120	-2.615967
-3.426765	-2.543004
-3.216722	-2.526264
-3.020261	-2.459619
-2.820325	-2.386656
-2.609334	-2.250207
-2.422348	-2.171875
-2.211041	-2.109020
-2.027845	-2.079962
-1.810222	-1.978256
-1.613128	-1.910032
-1.415088	-1.776425
-1.210414	-1.701252
-1.010478	-1.616919
-0.823176	-1.546167
-0.609343	-1.370236
-0.421093	-1.178828
-0.209471	-0.889822
-0.016168	-0.684516
0.191057	-0.412249
0.375224	-0.217051
0.591928	0.011629
0.774516	0.140830
0.989956	0.222331
1.176966	0.282035
1.391459	0.350269
1.581312	0.374592
1.791382	0.393862
1.978076	0.375856
2.190674	0.431769
2.376736	0.422293
2.593440	0.484524
2.778555	0.484840
2.990520	0.477258
3.177214	0.465570
3.388864	0.495896
3.585667	0.514218
3.790683	0.552126
3.983063	0.520852
4.187447	0.527802
4.376352	0.529381
4.599374	0.541385
4.773748	0.573290
4.996139	0.602037
5.179990	0.556864
5.393851	0.594140
5.572963	0.587822
5.791247	0.602037
5.986470	0.649105
6.182009	0.609618
6.382602	0.619095
6.591725	0.624781
6.776840	0.602669
6.985646	0.673429
7.175499	0.646894
7.391572	0.618779
7.580793	0.664900
7.787704	0.615936
7.979768	0.650369
8.186996	0.669007
8.380639	0.669639
8.590710	0.672482
8.781826	0.677852
8.992212	0.654476
9.180486	0.700912
9.386450	0.681958
9.578830	0.689540
9.788584	0.693647
9.972751	0.677536
9.793323	0.683222
9.575670	0.704703
9.383290	0.658898
9.185540	0.690172
8.979576	0.658898
8.789723	0.665848
8.582497	0.669639
8.382218	0.675956
8.188575	0.651948
7.981664	0.661109
7.791495	0.640892
7.584899	0.651632
7.376093	0.629204
7.187187	0.679115
6.979644	0.613409
6.781262	0.658266
6.588882	0.589717
6.387657	0.629204
6.182325	0.602037
5.988365	0.618464
5.781770	0.598246
5.585915	0.595719
5.380899	0.552757
5.184096	0.588453
4.990137	0.561918
4.778171	0.580556
4.583580	0.559707
4.388988	0.567288
4.171336	0.514534
3.995699	0.553705
3.778679	0.515482
