# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 436.019125
flt:plate_T_C 295.154566
flt:plate_Q_kW 0.480076
flt:cool_Thigh_C 49.491668
flt:cool_Tlow_C 12.967811
flt:air_psig 20.000000
flt:water_gph 2.600000
flt:standoff_in 0.228000
flt:oxygen_scfh 7.968750
flt:fuel_scfh 4.405906
flt:flow_scfh 12.374656
flt:ratio_fto 0.552898

## End Configuration ##
#: Wed Apr 12 18:09:19 2017
-7.414745	-3.231883
-9.602985	-3.838956
-9.517073	-3.919814
-9.474433	-3.941608
-9.416947	-3.903390
-9.216695	-3.723353
-9.014864	-3.663024
-8.817140	-3.705349
-8.612782	-3.776100
-8.418215	-3.669973
-8.229650	-3.513309
-8.009500	-3.383178
-7.821250	-3.410973
-7.606153	-3.464984
-7.422641	-3.436557
-7.210071	-3.281788
-7.026560	-3.120386
-6.814305	-3.082484
-6.622898	-3.130494
-6.414750	-3.131125
-6.222710	-3.048687
-6.006665	-2.880337
-5.825049	-2.793477
-5.609636	-2.799794
-5.424861	-2.845593
-5.212607	-2.809901
-5.011724	-2.629864
-4.820000	-2.507313
-4.611220	-2.480781
-4.424550	-2.524685
-4.216086	-2.482992
-4.012044	-2.385393
-3.816846	-2.214200
-3.613120	-2.167137
-3.412868	-2.153240
-3.231883	-2.167453
-3.008258	-2.075224
-2.820009	-1.964675
-2.603964	-1.848440
-2.422348	-1.844966
-2.211989	-1.813696
-2.029109	-1.780847
-1.815591	-1.649452
-1.620709	-1.535112
-1.410666	-1.476363
-1.213572	-1.439724
-1.003845	-1.346547
-0.829177	-1.190831
-0.607132	-0.935936
-0.431201	-0.768218
-0.211366	-0.610606
-0.014273	-0.404353
0.182844	-0.231581
0.383753	-0.060387
0.578029	0.023633
0.784624	0.122824
0.983006	0.171156
1.187707	0.216645
1.390511	0.196428
1.584471	0.207484
1.779062	0.174947
1.999557	0.248550
2.173615	0.247603
2.391899	0.282667
2.579857	0.226753
2.792770	0.250130
2.976937	0.252657
3.188586	0.305727
3.381598	0.311098
3.588510	0.292460
3.779310	0.278560
3.995383	0.286774
4.166282	0.310150
4.393095	0.355639
4.572839	0.314572
4.794598	0.283615
4.987294	0.306675
5.183780	0.309834
5.383742	0.374592
5.584335	0.345846
5.784929	0.336053
5.988365	0.311413
6.181377	0.340160
6.388920	0.373645
6.588882	0.397337
6.778419	0.322154
6.993544	0.342371
7.176131	0.311413
7.391256	0.384069
7.579845	0.374277
7.792127	0.397337
7.975030	0.307939
8.190154	0.329735
8.384114	0.363536
8.588182	0.405550
8.781195	0.382806
8.997267	0.346794
9.172588	0.327208
9.390556	0.380594
9.571880	0.391019
9.792690	0.413763
9.980332	0.381858
9.788584	0.313941
9.586411	0.370486
9.378868	0.370802
9.179854	0.428611
8.985894	0.373329
8.779299	0.349321
8.586287	0.321522
8.383799	0.374592
8.182573	0.380279
7.991140	0.407446
7.776332	0.319311
7.594376	0.341108
7.379883	0.317415
7.187819	0.392598
6.976801	0.363852
6.792634	0.347425
6.586039	0.313625
6.390500	0.321206
6.180746	0.361009
5.987418	0.382490
5.781454	0.335737
5.592865	0.326260
5.374265	0.288353
5.192941	0.335421
4.977501	0.356902
4.785752	0.318995
4.583263	0.305411
4.382986	0.266872
4.186815	0.303832
3.989381	0.322470
3.779626	0.327524
