# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 345.621995
flt:plate_T_C 148.134290
flt:plate_Q_kW 1.173795
flt:cool_Thigh_C 44.707032
flt:cool_Tlow_C 16.845967
flt:air_psig 40.000000
flt:water_gph 9.000000
flt:standoff_in 0.233000
flt:oxygen_scfh 16.269531
flt:fuel_scfh 8.905906
flt:flow_scfh 25.175437
flt:ratio_fto 0.547398

## End Configuration ##
#: Wed Jun 14 15:13:59 2017
-6.626372	-3.445401
-9.209746	-4.257779
-9.210062	-4.251778
-9.200271	-4.237880
-9.194901	-4.226193
-9.150681	-4.228088
-9.025603	-4.195240
-8.821245	-4.170918
-8.622889	-4.082795
-8.421373	-4.045525
-8.219227	-3.946978
-8.025924	-3.904653
-7.818091	-3.831375
-7.630474	-3.778627
-7.414429	-3.689556
-7.228707	-3.650390
-7.020558	-3.545527
-6.829782	-3.502254
-6.616580	-3.421396
-6.425804	-3.367385
-6.217656	-3.303582
-6.027512	-3.247676
-5.821890	-3.188927
-5.630167	-3.115017
-5.416333	-3.038896
-5.228400	-2.971935
-5.016777	-2.905921
-4.816841	-2.804532
-4.634277	-2.792213
-4.423918	-2.707880
-4.219244	-2.638708
-4.023099	-2.555007
-3.818109	-2.509840
-3.616910	-2.448564
-3.425818	-2.420137
-3.226198	-2.329803
-3.030684	-2.262841
-2.818114	-2.171559
-2.620389	-2.115337
-2.424559	-2.040796
-2.229045	-1.983626
-2.022792	-1.893923
-1.832647	-1.835806
-1.609338	-1.725573
-1.432775	-1.664929
-1.218310	-1.616287
-1.020269	-1.522478
-0.820965	-1.466888
-0.627346	-1.348758
-0.413829	-1.225891
-0.231581	-1.061015
-0.018063	-0.819386
0.176526	-0.529431
0.377751	-0.286539
0.583083	0.031214
0.775463	0.185371
0.989640	0.361325
1.175703	0.403655
1.384825	0.495896
1.569624	0.545176
1.779378	0.617200
1.968599	0.628572
2.185303	0.641208
2.367259	0.673745
2.584595	0.685433
2.769710	0.703439
2.983571	0.742610
3.174687	0.764407
3.377492	0.780834
3.579665	0.802946
3.778047	0.803262
3.979272	0.829797
4.172600	0.833588
4.371614	0.877497
4.572207	0.859176
4.779119	0.916037
4.972763	0.931200
5.186624	0.913510
5.369843	0.915721
5.578965	0.924882
5.773872	0.937202
5.979520	0.975741
6.173796	0.984270
6.385761	0.992483
6.573087	0.961526
6.779999	0.962157
6.973642	1.033550
7.175499	1.047449
7.376409	1.062612
7.578266	1.058190
7.772225	1.011437
7.978821	1.005751
8.177203	1.045554
8.376533	1.079670
8.579337	1.110628
8.768559	1.081566
8.983367	1.098308
9.170061	1.055031
9.372234	1.084093
9.575355	1.116630
9.781634	1.123896
9.973383	1.103363
9.789216	1.204449
9.564930	1.092306
9.380132	1.089147
9.174484	1.090411
8.984315	1.097360
8.777719	1.051872
8.581233	1.060717
8.374638	1.049029
8.177203	1.034813
7.971239	1.039868
7.779491	1.010805
7.579529	1.042395
7.374197	1.024389
7.178027	1.043974
6.970799	0.989324
6.776840	0.975425
6.575930	0.966580
6.382918	0.972898
6.171900	0.962789
5.982363	0.974477
5.766291	0.935938
5.583704	0.928673
5.366052	0.874970
5.195153	0.899294
4.973710	0.917932
4.778803	0.913510
4.576630	0.891397
4.373193	0.845908
4.171021	0.829166
3.979904	0.795365
3.772045	0.825691
