# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 305.195958
flt:plate_T_C 292.971002
flt:plate_Q_kW 1.341301
flt:cool_Thigh_C 49.924834
flt:cool_Tlow_C 15.705452
flt:air_psig 20.000000
flt:water_gph 8.500000
flt:standoff_in 0.233000
flt:oxygen_scfh 16.132812
flt:fuel_scfh 8.929344
flt:flow_scfh 25.062156
flt:ratio_fto 0.553490

## End Configuration ##
#: Fri Apr  7 09:34:52 2017
-6.809567	-3.392969
-9.322507	-4.138070
-9.315873	-4.128278
-9.292185	-4.130805
-9.274497	-4.127646
-9.201534	-4.103642
-9.012653	-4.022151
-8.810190	-3.948557
-8.612782	-3.885070
-8.417899	-3.846536
-8.210382	-3.799158
-8.015817	-3.740409
-7.812090	-3.693662
-7.612154	-3.644073
-7.404953	-3.579955
-7.212282	-3.520574
-7.016137	-3.457403
-6.814305	-3.377492
-6.614054	-3.319375
-6.414750	-3.251466
-6.212918	-3.192086
-6.009508	-3.138390
-5.818100	-3.077114
-5.609952	-3.008258
-5.412227	-2.946351
-5.208501	-2.886338
-5.008881	-2.844961
-4.813051	-2.775157
-4.615958	-2.706933
-4.411284	-2.633970
-4.214507	-2.535740
-4.015203	-2.465304
-3.816530	-2.422348
-3.611540	-2.361072
-3.416974	-2.290005
-3.216090	-2.221464
-3.015207	-2.139974
-2.815587	-2.089753
-2.615967	-2.030372
-2.412556	-1.960568
-2.214200	-1.890133
-2.014895	-1.807379
-1.817486	-1.723993
-1.612497	-1.660191
-1.411613	-1.599547
-1.215152	-1.539850
-1.007635	-1.455833
-0.813701	-1.371184
-0.616607	-1.277375
-0.412881	-1.182935
-0.214209	-1.036694
-0.012378	-0.843707
0.190426	-0.587549
0.384701	-0.316861
0.584347	-0.042384
0.785572	0.146516
0.989324	0.306359
1.189602	0.417554
1.386089	0.496212
1.589209	0.530645
1.786644	0.540437
1.983446	0.544544
2.185935	0.578029
2.387161	0.638681
2.585227	0.673113
2.787084	0.691751
2.978516	0.689224
3.183848	0.665848
3.385389	0.686697
3.584719	0.730290
3.786576	0.774516
3.990960	0.798524
4.182393	0.791574
4.382039	0.789363
4.579157	0.790310
4.785120	0.815266
4.986346	0.866441
5.188835	0.895188
5.380267	0.879709
5.581808	0.880656
5.786192	0.885079
5.985522	0.876550
6.188959	0.905296
6.392711	0.932463
6.589514	0.923302
6.783157	0.952365
6.986594	0.963105
7.183397	0.942888
7.387781	0.941308
7.589638	0.980479
7.788652	0.983638
7.985455	1.001960
8.183205	1.034813
8.383482	1.018703
8.585655	0.975425
8.782774	0.994063
8.987158	1.006067
9.189331	1.046817
9.385818	1.076512
9.583884	1.071141
9.779423	1.057874
9.984123	0.981743
9.783214	1.005435
9.583568	1.053767
9.380132	1.080934
9.184909	1.072721
8.983684	1.027232
8.784038	0.950785
8.584707	0.948890
8.392012	1.010805
8.182257	1.048081
7.984823	1.037972
7.787072	1.001013
7.584899	0.940992
7.382727	0.904349
7.179606	0.953312
6.983435	0.988377
6.784737	0.976689
6.587618	0.946994
6.387657	0.895819
6.185800	0.864862
5.983311	0.867073
5.785876	0.906560
5.585283	0.911614
5.378688	0.889502
5.186307	0.844013
4.988873	0.826007
4.789227	0.795365
4.584843	0.817793
4.384881	0.825059
4.183341	0.793154
3.989065	0.767882
3.785628	0.756510
