# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 294.853566
flt:plate_T_C 309.532864
flt:plate_Q_kW 1.109797
flt:cool_Thigh_C 51.372263
flt:cool_Tlow_C 14.930090
flt:air_psig 20.000000
flt:water_gph 6.500000
flt:standoff_in 0.233000
flt:oxygen_scfh 14.531250
flt:fuel_scfh 8.003562
flt:flow_scfh 22.534812
flt:ratio_fto 0.550783

## End Configuration ##
#: Fri Apr  7 09:31:51 2017
-6.813042	-3.391074
-9.302292	-4.155126
-9.292185	-4.156705
-9.270075	-4.161127
-9.239753	-4.168392
-9.185426	-4.159548
-9.007915	-4.096693
-8.813033	-4.033522
-8.610887	-3.967508
-8.416320	-3.909707
-8.215753	-3.854116
-8.013289	-3.778311
-7.813669	-3.706613
-7.606153	-3.618173
-7.405269	-3.555634
-7.217336	-3.510151
-7.014873	-3.453613
-6.810831	-3.388231
-6.615949	-3.316532
-6.415381	-3.240411
-6.210707	-3.192717
-6.014878	-3.154183
-5.816837	-3.094802
-5.609952	-3.028789
-5.419176	-2.948877
-5.211028	-2.874967
-5.012039	-2.823167
-4.811788	-2.775789
-4.615958	-2.728411
-4.411916	-2.677558
-4.216718	-2.595752
-4.011728	-2.519631
-3.813056	-2.445089
-3.615962	-2.385393
-3.416342	-2.313378
-3.217038	-2.247680
-3.017418	-2.170296
-2.812428	-2.095123
-2.610913	-2.034478
-2.412872	-1.964359
-2.215779	-1.901504
-2.012053	-1.831384
-1.811169	-1.746419
-1.610917	-1.645030
-1.413824	-1.583438
-1.211677	-1.513003
-1.010162	-1.425827
-0.819386	-1.345600
-0.617239	-1.246737
-0.413197	-1.141558
-0.211998	-0.982051
-0.012693	-0.763480
0.188846	-0.515218
0.384069	-0.284012
0.585610	-0.048701
0.785888	0.144937
0.985850	0.288353
1.187707	0.351848
1.383878	0.383437
1.585419	0.426715
1.786644	0.484208
1.981551	0.519904
2.186567	0.535067
2.387476	0.527486
2.588386	0.511375
2.793718	0.529381
2.986729	0.594455
3.190166	0.622254
3.388548	0.636154
3.587878	0.624150
3.785312	0.598246
3.989065	0.609303
4.185552	0.674377
4.382354	0.708178
4.592109	0.720182
4.785120	0.697437
4.985082	0.670902
5.188203	0.681011
5.379004	0.745769
5.581492	0.782413
5.785245	0.780202
5.986154	0.764091
6.186431	0.744190
6.390184	0.739135
6.586355	0.787152
6.783789	0.816214
6.985014	0.826638
7.179922	0.788099
7.386833	0.778622
7.591533	0.778622
7.789284	0.804842
7.983243	0.857280
8.186048	0.850962
8.379375	0.830745
8.585024	0.842433
8.785617	0.818109
8.991264	0.842749
9.182697	0.884447
9.377920	0.878761
9.582305	0.858228
9.789216	0.879393
9.980332	0.870232
9.790480	0.845908
9.584831	0.880025
9.378868	0.861387
9.181749	0.846540
8.983367	0.890765
8.786565	0.838327
8.586603	0.804526
8.387273	0.830745
8.180046	0.838958
7.983559	0.830745
7.789599	0.846224
7.584584	0.825691
7.385570	0.779254
7.184344	0.786836
6.987857	0.783993
6.782842	0.794101
6.586039	0.808001
6.386709	0.774832
6.186748	0.732502
5.987418	0.728711
5.780822	0.729975
5.583072	0.747665
5.387217	0.767882
5.184096	0.734081
4.989820	0.679431
4.793334	0.647526
4.586422	0.681958
4.384565	0.701544
4.177970	0.696805
3.988117	0.669323
3.786260	0.627309
