# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 404.432370
flt:plate_T_C 144.649719
flt:plate_Q_kW 0.375751
flt:cool_Thigh_C 49.200836
flt:cool_Tlow_C 17.595422
flt:air_psig 35.000000
flt:water_gph 2.100000
flt:standoff_in 0.233000
flt:oxygen_scfh 9.667969
flt:fuel_scfh 5.296531
flt:flow_scfh 14.964500
flt:ratio_fto 0.547843

## End Configuration ##
#: Wed Jun 14 15:45:13 2017
-7.230602	-3.398654
-9.495911	-3.956453
-9.530655	-3.902442
-9.434319	-3.966561
-9.348722	-4.035101
-9.223329	-3.998462
-9.026235	-3.854116
-8.823772	-3.719878
-8.614045	-3.667762
-8.435271	-3.756833
-8.215753	-3.739146
-8.034767	-3.639019
-7.820934	-3.483935
-7.615313	-3.381914
-7.422009	-3.417606
-7.217020	-3.430556
-7.028455	-3.385704
-6.819675	-3.240727
-6.629215	-3.105225
-6.417592	-3.046476
-6.226816	-3.100803
-6.017720	-3.086274
-5.825996	-2.957090
-5.628587	-2.849699
-5.419176	-2.733464
-5.227136	-2.754311
-5.016146	-2.749889
-4.830739	-2.699036
-4.617221	-2.574274
-4.428656	-2.446353
-4.226193	-2.426454
-4.017097	-2.406871
-3.830112	-2.398027
-3.617857	-2.317484
-3.424238	-2.168717
-3.227777	-2.092596
-3.025630	-2.055957
-2.821272	-2.060063
-2.619441	-1.963727
-2.428981	-1.891396
-2.216411	-1.761264
-2.026266	-1.683248
-1.822540	-1.711359
-1.615971	-1.620393
-1.428038	-1.543325
-1.217994	-1.392346
-1.023744	-1.253686
-0.814332	-1.152297
-0.633348	-1.030377
-0.421409	-0.845918
-0.221789	-0.621029
-0.029118	-0.454258
0.184108	-0.271062
0.368906	-0.165567
0.578029	-0.014589
0.772936	0.084917
0.979216	0.143989
1.175703	0.186319
1.376928	0.196428
1.579101	0.264345
1.768638	0.266556
1.981867	0.274770
2.171088	0.238758
2.386213	0.250446
2.575750	0.304780
2.776659	0.309518
2.980412	0.327840
3.177530	0.283299
3.386337	0.292460
3.565134	0.304464
3.785944	0.361325
3.971691	0.372697
4.181445	0.324681
4.380143	0.339212
4.572523	0.320574
4.782593	0.356586
4.975605	0.398285
5.181569	0.388492
5.368263	0.357850
5.577070	0.346162
5.779243	0.361325
5.972887	0.376804
6.187379	0.410604
6.376285	0.394178
6.583512	0.347425
6.778419	0.365116
6.978065	0.391967
7.178658	0.424188
7.379568	0.412500
7.582688	0.395126
7.771594	0.354059
7.981348	0.398600
8.175623	0.451987
8.374953	0.444721
8.577758	0.425136
8.772665	0.362588
8.983051	0.406814
9.171009	0.414711
9.378868	0.454830
9.568721	0.442826
9.776896	0.389124
9.976542	0.390703
9.772789	0.383122
9.583568	0.463043
9.368128	0.430506
9.180486	0.424188
8.975470	0.409973
8.778352	0.364484
8.579337	0.436824
8.372110	0.427663
8.174676	0.440299
7.971239	0.373961
7.788652	0.371118
7.566894	0.399864
7.379568	0.407446
7.175815	0.432085
6.972379	0.386596
6.780630	0.354059
6.580669	0.343951
6.380391	0.387544
6.174428	0.397337
5.987102	0.416606
5.770082	0.368906
5.575490	0.334158
5.379319	0.372697
5.174619	0.379015
4.980028	0.397653
4.782593	0.351216
4.579789	0.333526
4.368455	0.312361
4.180497	0.358798
3.982115	0.367011
3.772045	0.323733
