# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 319.469113
flt:plate_T_C 334.723451
flt:plate_Q_kW 0.933824
flt:cool_Thigh_C 58.516414
flt:cool_Tlow_C 11.345963
flt:air_psig 20.000000
flt:water_gph 4.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 19.375000
flt:fuel_scfh 10.675437
flt:flow_scfh 30.050437
flt:ratio_fto 0.550990

## End Configuration ##
#: Wed Mar 29 17:27:46 2017
-7.408112	-3.726511
-9.198376	-4.267886
-9.208483	-4.244829
-9.182583	-4.255884
-9.149734	-4.272308
-9.121307	-4.267570
-9.009810	-4.230299
-8.810822	-4.142492
-8.607728	-4.065107
-8.415056	-4.027205
-8.213541	-3.970351
-8.011079	-3.911286
-7.811774	-3.854432
-7.610259	-3.768520
-7.410955	-3.708192
-7.212282	-3.667447
-7.010451	-3.619752
-6.813042	-3.554686
-6.612159	-3.468458
-6.411275	-3.388863
-6.209760	-3.310847
-6.012035	-3.258099
-5.815258	-3.214511
-5.619112	-3.147550
-5.410964	-3.075535
-5.208185	-2.987412
-5.010144	-2.919187
-4.808629	-2.881916
-4.619432	-2.821588
-4.415074	-2.757469
-4.206610	-2.688613
-4.011728	-2.602385
-3.805159	-2.547110
-3.607750	-2.491836
-3.407814	-2.423295
-3.212616	-2.350649
-3.013312	-2.250523
-2.814955	-2.181667
-2.611545	-2.113758
-2.408450	-2.065116
-2.214515	-1.992786
-2.013316	-1.915717
-1.813064	-1.836438
-1.611865	-1.755579
-1.412877	-1.693987
-1.209782	-1.624499
-1.003529	-1.553432
-0.810542	-1.469415
-0.609659	-1.366446
-0.412249	-1.270110
-0.211998	-1.133030
-0.010482	-0.893296
0.188846	-0.546488
0.383122	-0.171252
0.585610	0.184424
0.784308	0.449775
0.985850	0.651317
1.189602	0.777675
1.393038	0.863598
1.588578	0.931200
1.786012	1.016807
1.983131	1.076512
2.185935	1.111260
2.387792	1.133373
2.588070	1.151379
2.789295	1.202870
2.984834	1.257203
3.183216	1.310274
3.387600	1.330491
3.586930	1.348181
3.788471	1.358922
3.988117	1.412308
4.181761	1.465062
4.384250	1.491598
4.582948	1.508656
4.786068	1.524451
4.988557	1.532348
5.186624	1.593316
5.384058	1.633751
5.585283	1.650177
5.786192	1.682398
5.984890	1.685557
6.186116	1.690612
6.386393	1.729783
6.589514	1.774640
6.780946	1.797068
6.983119	1.799595
7.186556	1.798648
7.382095	1.805598
7.587111	1.874779
7.788020	1.897839
7.981664	1.922479
8.184784	1.923110
8.390116	1.895944
8.587551	1.916793
8.781826	1.997978
8.982420	2.017247
9.180486	2.014720
9.383923	2.013141
9.581357	2.007138
9.782898	2.050732
9.983808	2.093694
9.785741	2.062420
9.584516	2.060841
9.381711	2.012825
9.179854	1.953436
8.980524	1.971127
8.787512	1.985658
8.584392	1.948698
8.381903	1.926585
8.183520	1.882676
7.981348	1.864670
7.787072	1.869724
7.585531	1.876674
7.386201	1.849191
7.184344	1.814127
6.984067	1.768322
6.783473	1.737048
6.593936	1.743366
6.391763	1.748420
6.184536	1.732310
5.987102	1.687453
5.789035	1.615113
5.582124	1.619535
5.384058	1.616692
5.186939	1.607847
4.987609	1.572151
4.786384	1.532032
4.584527	1.466326
4.382039	1.457481
4.181129	1.462851
3.989065	1.436632
3.784049	1.393986
