# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 376.636644
flt:plate_T_C 641.546613
flt:plate_Q_kW 0.713807
flt:cool_Thigh_C 47.843534
flt:cool_Tlow_C 10.575230
flt:air_psig 20.000000
flt:water_gph 4.000000
flt:standoff_in 0.233000
flt:oxygen_scfh 12.871094
flt:fuel_scfh 7.148094
flt:flow_scfh 20.019187
flt:ratio_fto 0.555360

## End Configuration ##
#: Thu Apr  6 11:29:47 2017
-7.013926	-3.516152
-9.233751	-4.230615
-9.228066	-4.220508
-9.238173	-4.198398
-9.229013	-4.173446
-9.188900	-4.162706
-9.005073	-4.124804
-8.812402	-4.072056
-8.610570	-3.989618
-8.412213	-3.914129
-8.211962	-3.852221
-8.010447	-3.812740
-7.812090	-3.769468
-7.608364	-3.719878
-7.410007	-3.640915
-7.214177	-3.550264
-7.011714	-3.473512
-6.814937	-3.416974
-6.609000	-3.370859
-6.412539	-3.326008
-6.213866	-3.246097
-6.008561	-3.168080
-5.813046	-3.096066
-5.609952	-3.030368
-5.410964	-2.977936
-5.209764	-2.917924
-5.008881	-2.838328
-4.806734	-2.760628
-4.610904	-2.706933
-4.409073	-2.665556
-4.211980	-2.611545
-4.009517	-2.555954
-3.809265	-2.470674
-3.606171	-2.404976
-3.413184	-2.322854
-3.210405	-2.250523
-3.012048	-2.191458
-2.808322	-2.121970
-2.610913	-2.039848
-2.408450	-1.957726
-2.213252	-1.884763
-2.010789	-1.808642
-1.810853	-1.736628
-1.610917	-1.670614
-1.410350	-1.581227
-1.206939	-1.498473
-1.007635	-1.416983
-0.811805	-1.309592
-0.613449	-1.144084
-0.410038	-0.932778
-0.209155	-0.733473
-0.004165	-0.494372
0.194216	-0.252427
0.388176	-0.039225
0.587822	0.120613
0.789679	0.241916
0.985218	0.337317
1.190866	0.412184
1.388616	0.447564
1.588262	0.449144
1.784748	0.445353
1.989448	0.457673
2.186567	0.497160
2.390635	0.536331
2.591229	0.546755
2.793086	0.536647
2.988625	0.532540
3.185112	0.542333
3.387916	0.584663
3.590721	0.611514
3.789103	0.622570
3.993171	0.612146
4.184604	0.605828
4.387409	0.612777
4.585159	0.654791
4.789227	0.684801
4.990768	0.672166
5.190414	0.668375
5.387533	0.654160
5.588126	0.659530
5.784297	0.701228
5.990892	0.728079
6.189275	0.711337
6.394290	0.710073
6.591409	0.701228
6.786316	0.706282
6.987226	0.734713
7.191926	0.763143
7.393783	0.739135
7.590270	0.753982
7.793390	0.746401
7.993036	0.739767
8.187311	0.787783
8.387273	0.799156
8.590077	0.785572
8.794147	0.778938
8.989685	0.784624
9.180170	0.763143
9.386133	0.802946
9.584831	0.795681
9.788268	0.793469
9.989493	0.804842
9.785110	0.794101
9.582936	0.767250
9.387397	0.794417
9.181118	0.784940
8.990633	0.784308
8.785617	0.789995
8.587551	0.756194
8.389169	0.742294
8.185101	0.764723
7.988614	0.762512
7.795601	0.767882
7.588374	0.778306
7.388412	0.730290
7.185608	0.713864
6.988805	0.725236
6.786633	0.729659
6.591725	0.736924
6.389552	0.737240
6.191486	0.687645
5.988681	0.667427
5.791247	0.682906
5.586231	0.690803
5.386901	0.705019
5.196732	0.682590
4.995191	0.642787
4.791754	0.614357
4.590845	0.634574
4.392463	0.631731
4.190290	0.648474
3.994435	0.618148
3.795105	0.582136
