# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:tip_T_C 335.451649
flt:plate_T_C 325.228326
flt:plate_Q_kW 1.118287
flt:cool_Thigh_C 51.443910
flt:cool_Tlow_C 11.725746
flt:air_psig 20.000000
flt:water_gph 6.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 16.132812
flt:fuel_scfh 8.882469
flt:flow_scfh 25.015281
flt:ratio_fto 0.550584

## End Configuration ##
#: Wed Apr  5 17:25:22 2017
-7.414745	-3.777048
-9.145944	-4.321897
-9.163947	-4.293154
-9.166790	-4.273255
-9.147207	-4.272308
-9.096670	-4.292207
-9.004441	-4.304841
-8.809875	-4.256831
-8.609623	-4.178499
-8.413161	-4.101115
-8.216700	-4.037312
-8.014237	-3.996567
-7.808616	-3.934975
-7.610259	-3.851274
-7.408112	-3.789682
-7.212282	-3.743883
-7.015505	-3.697137
-6.805461	-3.657971
-6.612159	-3.594168
-6.411275	-3.457719
-6.209760	-3.338326
-6.013930	-3.272944
-5.812415	-3.228724
-5.608373	-3.194296
-5.412543	-3.108700
-5.210712	-3.005100
-5.007617	-2.931190
-4.807997	-2.883811
-4.612799	-2.850331
-4.409073	-2.820956
-4.212296	-2.756206
-4.008254	-2.675979
-3.808002	-2.580591
-3.612172	-2.496574
-3.419185	-2.435930
-3.215143	-2.377181
-3.012048	-2.310851
-2.812428	-2.223991
-2.610281	-2.135868
-2.410029	-2.080593
-2.213568	-2.033847
-2.016475	-1.980151
-1.812433	-1.901819
-1.607443	-1.818750
-1.411929	-1.717676
-1.209150	-1.621657
-1.008267	-1.555011
-0.815912	-1.475100
-0.613133	-1.391399
-0.410038	-1.295695
-0.209471	-1.175986
-0.012378	-0.989947
0.190741	-0.712627
0.384701	-0.414145
0.590349	-0.112188
0.782729	0.145253
0.988061	0.320258
1.188338	0.442194
1.389248	0.494633
1.584787	0.546439
1.784433	0.590349
1.984710	0.635522
2.188147	0.677220
2.386529	0.721445
2.589333	0.728711
2.791506	0.735977
2.985150	0.745453
3.182269	0.769777
3.386021	0.806737
3.586614	0.833588
3.787524	0.838327
3.991276	0.868652
4.186499	0.901506
4.384565	0.911614
4.587054	0.929936
4.789543	0.954892
4.987609	0.951733
5.188835	0.989324
5.379319	1.003856
5.584020	0.989008
5.786192	0.989008
5.988050	1.001328
6.188327	1.024705
6.389236	1.080618
6.588882	1.120105
6.784737	1.123264
6.985331	1.101151
7.191926	1.111576
7.388729	1.115367
7.588690	1.168753
7.789284	1.184548
7.981664	1.189918
8.185101	1.147904
8.379060	1.094202
8.586603	1.154853
8.788144	1.238882
8.985894	1.280580
9.183329	1.280580
9.378236	1.260363
9.581673	1.176334
9.785741	1.173807
9.992969	1.250570
9.784162	1.290688
9.584831	1.276789
9.379816	1.224982
9.182065	1.155485
8.988421	1.153274
8.786249	1.210767
8.585340	1.237618
8.384746	1.231932
8.187628	1.211715
7.983243	1.147272
7.787072	1.108733
7.590270	1.101783
7.385885	1.118841
7.188135	1.129898
6.984699	1.080302
6.790739	1.060401
6.592673	1.070825
6.389552	1.059453
6.189590	1.067351
5.989629	1.073353
5.784613	1.053135
5.585915	1.002908
5.383742	0.999749
5.189782	0.974793
4.984766	0.935306
4.788911	0.943835
4.592424	0.902453
4.387093	0.904665
4.185867	0.911298
3.986854	0.887290
3.790051	0.844329
